{'loss': 2.125, 'grad_norm': 4.6114693631699915, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.75, 'grad_norm': 4.455777071656654, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.1719, 'grad_norm': 5.426585916659562, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 1.9766, 'grad_norm': 5.37508598796026, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 1.9609, 'grad_norm': 4.504463553703966, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.5625, 'grad_norm': 5.632933312255413, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.7344, 'grad_norm': 4.820290487959167, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.2031, 'grad_norm': 5.0591413578384525, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 1.7188, 'grad_norm': 4.90720053919676, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.9531, 'grad_norm': 5.584408987152432, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.0312, 'grad_norm': 6.483344982186383, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.1719, 'grad_norm': 4.891662989812903, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.1406, 'grad_norm': 4.715300941994764, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.1094, 'grad_norm': 4.917011966533966, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 1.7969, 'grad_norm': 5.344035610548399, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.125, 'grad_norm': 5.841296825708515, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.5, 'grad_norm': 5.567403122420545, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 1.9531, 'grad_norm': 7.110422885257681, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 1.8906, 'grad_norm': 5.8911103376815355, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 1.8672, 'grad_norm': 5.159853234572748, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.875, 'grad_norm': 4.25010334015838, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.7969, 'grad_norm': 5.926599948903188, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.3281, 'grad_norm': 5.114772930689475, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.3594, 'grad_norm': 5.616855086548894, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.125, 'grad_norm': 4.884625570370895, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.4062, 'grad_norm': 6.505135334760109, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.625, 'grad_norm': 7.250049962995516, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 1.9609, 'grad_norm': 5.640007119784958, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 1.8828, 'grad_norm': 4.8684104062266265, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 1.8828, 'grad_norm': 5.246299659371866, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 2.25, 'grad_norm': 6.197864698442289, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 1.7812, 'grad_norm': 5.156051058484374, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 2.5469, 'grad_norm': 5.42501117012951, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 2.5781, 'grad_norm': 6.101554902984205, 'learning_rate': 2e-05, 'epoch': 0.26}
