{'loss': 2.0938, 'grad_norm': 7.605492813512638, 'learning_rate': 2e-05, 'epoch': 0.54}
{'loss': 2.2344, 'grad_norm': 6.953841034456379, 'learning_rate': 2e-05, 'epoch': 0.55}
{'loss': 2.3125, 'grad_norm': 8.609002190515996, 'learning_rate': 2e-05, 'epoch': 0.55}
{'loss': 2.0938, 'grad_norm': 9.514767653112658, 'learning_rate': 2e-05, 'epoch': 0.56}
{'loss': 1.8125, 'grad_norm': 7.3075451842516745, 'learning_rate': 2e-05, 'epoch': 0.56}
{'loss': 2.1875, 'grad_norm': 7.912113411113423, 'learning_rate': 2e-05, 'epoch': 0.56}
{'loss': 2.3125, 'grad_norm': 7.335735143077216, 'learning_rate': 2e-05, 'epoch': 0.57}
{'loss': 2.2031, 'grad_norm': 6.977735115972988, 'learning_rate': 2e-05, 'epoch': 0.57}
{'loss': 2.3125, 'grad_norm': 7.29538185233874, 'learning_rate': 2e-05, 'epoch': 0.58}
{'loss': 2.1562, 'grad_norm': 8.03504997606733, 'learning_rate': 2e-05, 'epoch': 0.58}
{'loss': 2.125, 'grad_norm': 7.201555624686503, 'learning_rate': 2e-05, 'epoch': 0.59}
{'loss': 2.2969, 'grad_norm': 8.156090800216205, 'learning_rate': 2e-05, 'epoch': 0.59}
{'loss': 2.1094, 'grad_norm': 7.865047478399352, 'learning_rate': 2e-05, 'epoch': 0.6}
{'loss': 2.1094, 'grad_norm': 7.451358203044752, 'learning_rate': 2e-05, 'epoch': 0.6}
{'loss': 1.9453, 'grad_norm': 8.291122201261008, 'learning_rate': 2e-05, 'epoch': 0.6}
{'loss': 2.2969, 'grad_norm': 9.978182293495188, 'learning_rate': 2e-05, 'epoch': 0.61}
{'loss': 2.4219, 'grad_norm': 9.826208745495581, 'learning_rate': 2e-05, 'epoch': 0.61}
{'loss': 2.0938, 'grad_norm': 8.68747947111661, 'learning_rate': 2e-05, 'epoch': 0.62}
{'loss': 2.0, 'grad_norm': 7.503756644106962, 'learning_rate': 2e-05, 'epoch': 0.62}
{'loss': 2.3438, 'grad_norm': 8.673221973939533, 'learning_rate': 2e-05, 'epoch': 0.63}
{'loss': 2.4219, 'grad_norm': 10.543711365031134, 'learning_rate': 2e-05, 'epoch': 0.63}
{'loss': 2.3125, 'grad_norm': 10.927554742521588, 'learning_rate': 2e-05, 'epoch': 0.64}
{'loss': 2.0469, 'grad_norm': 7.711557701922112, 'learning_rate': 2e-05, 'epoch': 0.64}
{'loss': 2.0625, 'grad_norm': 8.01445120045496, 'learning_rate': 2e-05, 'epoch': 0.64}
{'loss': 2.2188, 'grad_norm': 8.602598624612387, 'learning_rate': 2e-05, 'epoch': 0.65}
