{'loss': 1.9336, 'learning_rate': 2e-05, 'epoch': 0.55}
{'loss': 1.9766, 'learning_rate': 2e-05, 'epoch': 0.55}
{'loss': 2.3359, 'learning_rate': 2e-05, 'epoch': 0.56}
{'loss': 1.9336, 'learning_rate': 2e-05, 'epoch': 0.56}
{'loss': 1.9844, 'learning_rate': 2e-05, 'epoch': 0.56}
{'loss': 2.2734, 'learning_rate': 2e-05, 'epoch': 0.56}
{'loss': 1.9062, 'learning_rate': 2e-05, 'epoch': 0.56}
{'loss': 2.7578, 'learning_rate': 2e-05, 'epoch': 0.57}
{'loss': 2.2305, 'learning_rate': 2e-05, 'epoch': 0.57}
{'loss': 2.0078, 'learning_rate': 2e-05, 'epoch': 0.57}
{'loss': 2.0742, 'learning_rate': 2e-05, 'epoch': 0.57}
{'loss': 1.918, 'learning_rate': 2e-05, 'epoch': 0.58}
{'loss': 2.3516, 'learning_rate': 2e-05, 'epoch': 0.58}
{'loss': 1.9883, 'learning_rate': 2e-05, 'epoch': 0.58}
{'loss': 1.6992, 'learning_rate': 2e-05, 'epoch': 0.58}
{'loss': 2.1953, 'learning_rate': 2e-05, 'epoch': 0.58}
{'loss': 2.3594, 'learning_rate': 2e-05, 'epoch': 0.59}
{'loss': 2.2266, 'learning_rate': 2e-05, 'epoch': 0.59}
{'loss': 1.793, 'learning_rate': 2e-05, 'epoch': 0.59}
{'loss': 2.2109, 'learning_rate': 2e-05, 'epoch': 0.59}
{'loss': 1.8359, 'learning_rate': 2e-05, 'epoch': 0.6}
{'loss': 1.9023, 'learning_rate': 2e-05, 'epoch': 0.6}
{'loss': 2.2578, 'learning_rate': 2e-05, 'epoch': 0.6}
{'loss': 2.1602, 'learning_rate': 2e-05, 'epoch': 0.6}
{'loss': 2.3438, 'learning_rate': 2e-05, 'epoch': 0.6}
{'loss': 2.7344, 'learning_rate': 2e-05, 'epoch': 0.61}
{'loss': 2.1055, 'learning_rate': 2e-05, 'epoch': 0.61}
{'loss': 2.125, 'learning_rate': 2e-05, 'epoch': 0.61}
{'loss': 1.9023, 'learning_rate': 2e-05, 'epoch': 0.61}
{'loss': 2.6406, 'learning_rate': 2e-05, 'epoch': 0.62}
{'loss': 1.6445, 'learning_rate': 2e-05, 'epoch': 0.62}
{'loss': 2.2734, 'learning_rate': 2e-05, 'epoch': 0.62}
{'loss': 2.1328, 'learning_rate': 2e-05, 'epoch': 0.62}
{'loss': 1.9961, 'learning_rate': 2e-05, 'epoch': 0.62}
{'loss': 2.2734, 'learning_rate': 2e-05, 'epoch': 0.63}
{'loss': 2.043, 'learning_rate': 2e-05, 'epoch': 0.63}
{'loss': 1.9609, 'learning_rate': 2e-05, 'epoch': 0.63}
{'loss': 1.9414, 'learning_rate': 2e-05, 'epoch': 0.63}
{'loss': 2.1406, 'learning_rate': 2e-05, 'epoch': 0.64}
{'loss': 2.1719, 'learning_rate': 2e-05, 'epoch': 0.64}
{'loss': 2.375, 'learning_rate': 2e-05, 'epoch': 0.64}
{'loss': 1.7148, 'learning_rate': 2e-05, 'epoch': 0.64}
{'loss': 2.1406, 'learning_rate': 2e-05, 'epoch': 0.65}
{'loss': 2.0664, 'learning_rate': 2e-05, 'epoch': 0.65}
{'loss': 1.918, 'learning_rate': 2e-05, 'epoch': 0.65}
{'loss': 2.2578, 'learning_rate': 2e-05, 'epoch': 0.65}
{'loss': 2.1562, 'learning_rate': 2e-05, 'epoch': 0.65}
{'loss': 2.0859, 'learning_rate': 2e-05, 'epoch': 0.66}
{'loss': 2.0156, 'learning_rate': 2e-05, 'epoch': 0.66}
{'loss': 2.1562, 'learning_rate': 2e-05, 'epoch': 0.66}
{'loss': 2.3438, 'learning_rate': 2e-05, 'epoch': 0.66}
{'loss': 1.918, 'learning_rate': 2e-05, 'epoch': 0.67}
{'loss': 2.2578, 'learning_rate': 2e-05, 'epoch': 0.67}
{'loss': 1.7852, 'learning_rate': 2e-05, 'epoch': 0.67}
{'loss': 2.2812, 'learning_rate': 2e-05, 'epoch': 0.67}
{'loss': 2.3633, 'learning_rate': 2e-05, 'epoch': 0.67}
{'loss': 1.8633, 'learning_rate': 2e-05, 'epoch': 0.68}
{'loss': 2.375, 'learning_rate': 2e-05, 'epoch': 0.68}
